| 航班号 		| 来自于		| 预计到达	| 实际到达	| 备注	|
|CA-1402		|null		|null	|00:01	|null	|
|CA-1402		|null		|null	|00:01	|null	|
|CA-1402		|null		|null	|null	|null	|
|CA-1529		|null		|null	|null	|null	|
|CA-1402		|null		|null	|null	|null	|
|CA-1402		|null		|null	|null	|null	|
|BK-2898		|null		|null	|00:03	|null	|
|BK-2898		|null		|null	|00:03	|null	|
|BK-3103		|null		|null	|null	|null	|
|BK-2898		|null		|null	|null	|null	|
|BK-2898		|null		|null	|null	|null	|
|BK-2898		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|JR-1667		|null		|null	|null	|null	|
|JR-1667		|null		|null	|null	|null	|
|BK-2878		|null		|null	|00:17	|null	|
|BK-2878		|null		|null	|00:17	|null	|
|BK-2931		|null		|null	|null	|null	|
|BK-2878		|null		|null	|null	|null	|
|BK-2878		|null		|null	|null	|null	|
|BK-2878		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|CF-9101		|null		|null	|null	|null	|
|CF-9101		|null		|null	|null	|null	|
|MU-5751		|null		|null	|00:32	|null	|
|MU-5751		|null		|null	|00:32	|null	|
|MU-5752		|null		|null	|null	|null	|
|MU-5751		|null		|null	|null	|null	|
|MU-5751		|null		|null	|null	|null	|
|MU-5751		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|FM-9069		|null		|null	|00:35	|null	|
|FM-9069		|null		|null	|00:35	|null	|
|FM-9069		|null		|null	|null	|null	|
|FM-9070		|null		|null	|null	|null	|
|FM-9069		|null		|null	|null	|null	|
|FM-9069		|null		|null	|null	|null	|
|OZ-328		|null		|null	|null	|null	|
|GS-7908		|null		|null	|00:40	|null	|
|GS-7908		|null		|null	|00:40	|null	|
|GS-7908		|null		|null	|null	|null	|
|GS-7993		|null		|null	|null	|null	|
|GS-7908		|null		|null	|null	|null	|
|GS-7908		|null		|null	|null	|null	|
|BK-2966		|null		|null	|00:41	|null	|
|BK-2966		|null		|null	|00:41	|null	|
|BK-2966		|null		|null	|null	|null	|
|BK-3035		|null		|null	|null	|null	|
|BK-2966		|null		|null	|null	|null	|
|BK-2966		|null		|null	|null	|null	|
|GS-7902		|null		|null	|00:46	|null	|
|GS-7902		|null		|null	|00:46	|null	|
|GS-7867		|null		|null	|null	|null	|
|GS-7902		|null		|null	|null	|null	|
|GS-7902		|null		|null	|null	|null	|
|GS-7902		|null		|null	|null	|null	|
|GS-7990		|null		|03:50	|null	|null	|
|GS-7990		|null		|null	|null	|null	|
|GS-7990		|null		|null	|null	|null	|
|GS-7977		|null		|null	|null	|null	|
|GS-7990		|null		|null	|null	|null	|
|YS-529		|天津市滨海国际机场	|null	|null	|null	|
|YS-529		|null		|null	|null	|null	|
|YS-529		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|OD-689		|null		|null	|null	|null	|
|GS-7888		|null		|null	|01:21	|null	|
|GS-7888		|null		|null	|01:21	|null	|
|GS-7819		|null		|null	|null	|null	|
|GS-7888		|null		|null	|null	|null	|
|GS-7888		|null		|null	|null	|null	|
|GS-7888		|null		|null	|null	|null	|
|3U-8356		|null		|null	|01:27	|null	|
|3U-8356		|null		|null	|01:27	|null	|
|3U-8356		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8356		|null		|null	|null	|null	|
|3U-8356		|null		|null	|null	|null	|
|GS-7892		|null		|null	|01:30	|null	|
|GS-7892		|null		|null	|01:30	|null	|
|GS-7892		|null		|null	|null	|null	|
|GS-7853		|null		|null	|null	|null	|
|GS-7892		|null		|null	|null	|null	|
|GS-7892		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|SL-963		|null		|null	|null	|null	|
|CA-1036		|null		|null	|01:58	|null	|
|CA-1036		|null		|null	|01:58	|null	|
|CA-1036		|null		|null	|null	|null	|
|VI-4329		|null		|null	|02:12	|null	|
|VI-4329		|null		|null	|02:12	|null	|
|VI-4330		|null		|null	|null	|null	|
|BK-2990		|null		|05:20	|null	|null	|
|BK-2990		|null		|null	|null	|null	|
|BK-2990		|null		|null	|null	|null	|
|BK-2777		|null		|null	|null	|null	|
|BK-2990		|null		|null	|null	|null	|
|TR-138		|null		|08:15	|null	|null	|
|TR-138		|null		|null	|null	|null	|
|TR-139		|null		|null	|null	|null	|
|TR-138		|null		|null	|null	|null	|
|TR-138		|null		|null	|null	|null	|
|CA-750		|null		|07:40	|null	|null	|
|CA-750		|null		|null	|null	|null	|
|CA-750		|null		|null	|null	|null	|
|CA-8363		|null		|null	|null	|null	|
|CA-750		|null		|null	|null	|null	|
|MU-500		|null		|null	|null	|null	|
|MU-500		|null		|null	|null	|null	|
|JR-1668		|null		|05:30	|null	|null	|
|JR-1668		|null		|null	|null	|null	|
|JR-1609		|null		|null	|null	|null	|
|GS-7990		|null		|null	|03:59	|null	|
|GS-7990		|null		|null	|03:59	|null	|
|GS-7990		|null		|null	|null	|null	|
|GS-7990		|null		|null	|null	|null	|
|GS-7977		|null		|null	|null	|null	|
|GS-7990		|null		|null	|null	|null	|
|CA-1036		|null		|null	|null	|null	|
|CA-1036		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|MF-8353		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|MF-8353		|null		|null	|null	|null	|
|MF-8353		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|BK-2709		|null		|null	|null	|null	|
|G5-2905		|null		|null	|null	|null	|
|BK-2709		|null		|null	|null	|null	|
|BK-2709		|null		|null	|null	|null	|
|G5-2905		|null		|null	|null	|null	|
|G5-2905		|null		|null	|null	|null	|
|CA-1641		|null		|null	|null	|null	|
|HX-363		|null		|null	|null	|null	|
|HX-363		|null		|null	|null	|null	|
|HX-363		|null		|null	|null	|null	|
|MF-8365		|null		|null	|null	|null	|
|GS-7819		|null		|null	|null	|null	|
|GS-7857		|null		|null	|null	|null	|
|MF-8365		|null		|null	|null	|null	|
|MF-8365		|null		|null	|null	|null	|
|BK-3035		|null		|null	|null	|null	|
|BK-3035		|null		|null	|null	|null	|
|BK-3035		|null		|null	|null	|null	|
|GS-7830		|null		|null	|null	|null	|
|FM-9070		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|FM-9070		|null		|null	|null	|null	|
|FM-9070		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|CA-951		|null		|null	|null	|null	|
|BK-2777		|null		|null	|null	|null	|
|GS-7815		|null		|null	|null	|null	|
|CA-1529		|null		|null	|null	|null	|
|CA-1245		|null		|null	|null	|null	|
|BK-2777		|null		|null	|null	|null	|
|BK-2777		|null		|null	|null	|null	|
|BK-2990		|null		|null	|05:47	|null	|
|BK-2990		|null		|null	|05:47	|null	|
|BK-2990		|null		|null	|null	|null	|
|BK-2777		|null		|null	|null	|null	|
|BK-2990		|null		|null	|null	|null	|
|BK-2990		|null		|null	|null	|null	|
|CA-777		|null		|null	|null	|null	|
|CA-777		|null		|null	|null	|null	|
|CA-777		|null		|null	|null	|null	|
|JL-840		|null		|null	|null	|null	|
|BK-2931		|null		|null	|null	|null	|
|BK-2931		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|3U-8349		|null		|null	|null	|null	|
|GS-7839		|null		|null	|null	|null	|
|GS-7803		|null		|null	|null	|null	|
|JR-1668		|null		|06:25	|null	|null	|
|JR-1668		|null		|null	|null	|null	|
|JR-1609		|null		|null	|null	|null	|
|TR-139		|null		|null	|null	|null	|
|CA-1427		|null		|null	|null	|null	|
|GS-7833		|null		|null	|null	|null	|
|GS-7881		|null		|null	|null	|null	|
|LS-BDJ200	|null		|null	|null	|null	|
|LS-BDJ200	|null		|null	|null	|null	|
|LS-BDJ200	|null		|null	|null	|null	|
|LS-BDJ201	|null		|null	|null	|null	|
|LS-BDJ200	|null		|null	|null	|null	|
|LS-BDJ200	|null		|null	|null	|null	|
|LS-BDJ201	|null		|null	|null	|null	|
|Y8-7498		|null		|09:15	|null	|null	|
|Y8-7498		|null		|null	|null	|null	|
|Y8-7498		|null		|null	|null	|null	|
|CA-1641		|null		|null	|null	|null	|
|CA-1641		|null		|null	|null	|null	|
|CA-1641		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|BK-2751		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|JR-1601		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|GS-7993		|null		|null	|null	|null	|
|CA-1317		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|JR-1601		|null		|null	|null	|null	|
|JR-1601		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|CF-9102		|null		|07:30	|null	|null	|
|CF-9102		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|GS-7993		|null		|null	|null	|null	|
|CF-9111		|null		|null	|null	|null	|
|GS-7993		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|KN-2217		|null		|null	|null	|null	|
|OZ-328		|null		|null	|null	|null	|
|GS-7817		|null		|null	|null	|null	|
|GS-7853		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|MF-8313		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|MF-8313		|null		|null	|null	|null	|
|MF-8313		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|BK-2877		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|3U-8357		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|G5-2911		|null		|null	|null	|null	|
|TR-139		|null		|null	|null	|null	|
|MF-8353		|null		|null	|null	|null	|
|CA-777		|null		|null	|null	|null	|
|CA-1371		|null		|null	|null	|null	|
|CA-103		|null		|null	|null	|null	|
|TR-139		|null		|null	|null	|null	|
|TR-139		|null		|null	|null	|null	|
